title,number,created_at,closed_at,labels,state,municipio,month,day,year,format_date_closed,format_date_created,week
Coleta de Despesas - Empenhos Anulados - Itacarambi,1535,2022-02-09 14:28:34,0,Realização F01 Coleta,open,Itacarambi,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Montezuma,1534,2022-02-09 14:28:33,0,Realização F01 Coleta,open,Montezuma,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Manga,1533,2022-02-09 14:28:32,0,Realização F01 Coleta,open,Manga,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - São João do Pacuí,1532,2022-02-09 14:28:30,0,Realização F01 Coleta,open,São João do Pacuí,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Santo Antônio do Retiro,1531,2022-02-09 14:28:29,0,Realização F01 Coleta,open,Santo Antônio do Retiro,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Veredinha,1530,2022-02-09 14:28:28,0,Realização F01 Coleta,open,Veredinha,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Jenipapo de Minas,1529,2022-02-09 14:27:52,0,Realização F01 Coleta,open,Jenipapo de Minas,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Santana do Riacho,1528,2022-02-09 14:27:50,0,Realização F01 Coleta,open,Santana do Riacho,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Padre Carvalho,1527,2022-02-09 14:27:49,0,Realização F01 Coleta,open,Padre Carvalho,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Santo Hipólito,1526,2022-02-09 14:27:48,0,Realização F01 Coleta,open,Santo Hipólito,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Itacambira,1525,2022-02-09 14:27:46,0,Realização F01 Coleta,open,Itacambira,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Mata Verde,1524,2022-02-09 14:27:45,0,Realização F01 Coleta,open,Mata Verde,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Brasília de Minas,1523,2022-02-09 14:27:44,0,Realização F01 Coleta,open,Brasília de Minas,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Santa Cruz de Salinas,1522,2022-02-09 14:27:43,0,Realização F01 Coleta,open,Santa Cruz de Salinas,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Pedra Azul,1521,2022-02-09 14:27:41,0,Realização F01 Coleta,open,Pedra Azul,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Mato Verde,1520,2022-02-09 14:27:40,0,Realização F01 Coleta,open,Mato Verde,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Couto de Magalhães de Minas,1519,2022-02-09 14:27:39,0,Realização F01 Coleta,open,Couto de Magalhães de Minas,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Miravânia,1518,2022-02-09 14:27:37,0,Realização F01 Coleta,open,Miravânia,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Monte Azul,1517,2022-02-09 14:27:36,0,Realização F01 Coleta,open,Monte Azul,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Joaquim Felício,1516,2022-02-09 14:27:35,0,Realização F01 Coleta,open,Joaquim Felício,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Vargem Grande do Rio Pardo,1515,2022-02-09 14:27:33,0,Realização F01 Coleta,open,Vargem Grande do Rio Pardo,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Mário Campos,1514,2022-02-09 14:27:32,0,Realização F01 Coleta,open,Mário Campos,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Coluna,1513,2022-02-09 14:27:31,0,Realização F01 Coleta,open,Coluna,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Serra Azul de Minas,1512,2022-02-09 14:27:29,0,Realização F01 Coleta,open,Serra Azul de Minas,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Ladainha,1511,2022-02-09 14:27:28,0,Realização F01 Coleta,open,Ladainha,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Aricanduva,1510,2022-02-09 14:27:27,0,Realização F01 Coleta,open,Aricanduva,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Nova Porteirinha,1509,2022-02-09 14:26:30,0,Realização F01 Coleta,open,Nova Porteirinha,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Rio Pardo de Minas,1508,2022-02-09 14:26:28,0,Realização F01 Coleta,open,Rio Pardo de Minas,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Jequitaí,1507,2022-02-09 14:26:27,0,Realização F01 Coleta,open,Jequitaí,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - São João das Missões,1506,2022-02-09 14:26:26,0,Realização F01 Coleta,open,São João das Missões,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Curral de Dentro,1505,2022-02-09 14:26:24,0,Realização F01 Coleta,open,Curral de Dentro,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Lontra,1504,2022-02-09 14:26:23,0,Realização F01 Coleta,open,Lontra,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Capelinha,1503,2022-02-09 14:26:22,0,Realização F01 Coleta,open,Capelinha,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - São Gonçalo do Rio Preto,1502,2022-02-09 14:26:20,0,Realização F01 Coleta,open,São Gonçalo do Rio Preto,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Divisa Alegre,1501,2022-02-09 14:26:19,0,Realização F01 Coleta,open,Divisa Alegre,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Glaucilândia,1500,2022-02-09 14:26:18,0,Realização F01 Coleta,open,Glaucilândia,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Novo Cruzeiro,1499,2022-02-09 14:26:16,0,Realização F01 Coleta,open,Novo Cruzeiro,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Virgem da Lapa,1498,2022-02-09 14:26:15,0,Realização F01 Coleta,open,Virgem da Lapa,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Divisópolis,1497,2022-02-09 14:26:13,0,Realização F01 Coleta,open,Divisópolis,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Várzea da Palma,1496,2022-02-09 14:26:12,0,Realização F01 Coleta,open,Várzea da Palma,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Bocaiúva,1495,2022-02-09 14:26:11,0,Realização F01 Coleta,open,Bocaiúva,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Águas Vermelhas,1494,2022-02-09 14:26:09,0,Realização F01 Coleta,open,Águas Vermelhas,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Pai Pedro,1493,2022-02-09 14:26:08,0,Realização F01 Coleta,open,Pai Pedro,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Guaraciama,1492,2022-02-09 14:26:06,0,Realização F01 Coleta,open,Guaraciama,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Cristália,1491,2022-02-09 14:26:05,0,Realização F01 Coleta,open,Cristália,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Janaúba,1490,2022-02-09 14:26:04,0,Realização F01 Coleta,open,Janaúba,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Capitão Enéas,1489,2022-02-09 14:24:59,0,Realização F01 Coleta,open,Capitão Enéas,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Juramento,1488,2022-02-09 14:24:57,0,Realização F01 Coleta,open,Juramento,2,9,2022,1/1970,2/2022,00
