template,tag,closed,open
Síntese tecnologia informatica,Despesas,602.0,0.0
Siplanweb,Despesas,264.0,41.0
Betha,Despesas,127.0,0.0
Betha,Licitação,75.0,0.0
Síntese tecnologia informatica,Licitação,73.0,0.0
Siplanweb,Servidores Públicos,61.0,61.0
Siplanweb,Licitação,61.0,0.0
PT,Licitação,43.0,0.0
GRP,Licitação,26.0,0.0
Template2,Licitação,25.0,0.0
ADPM,Licitação,22.0,0.0
Siplanweb,Contratos,15.0,46.0
Template1,Licitação,8.0,2.0
Fiorilli,Licitação,6.0,0.0
Portal fácil (5),Licitação,4.0,0.0
Portal fácil,Despesas,2.0,1.0
IPM Sistemas,Despesas,1.0,0.0
Prefeitura,Despesas,0.0,5.0
Portaltp,Licitação,0.0,1.0
Portal Fácil (46),Licitação,0.0,4.0
Municipal Net,Licitação,0.0,1.0
GOVBR,Despesas,0.0,2.0
Fiorilli,Despesas,0.0,1.0
Template1 (22),Licitação,0.0,20.0
ABO,Licitação,0.0,13.0
Habeas Data,Licitação,4.0,0.0
