municipio,6/2021,7/2021,9/2021,10/2021,11/2021,12/2021,1/2022,2/2022
Abaeté,0,0,0,0,0,0,2,0
Aiuruoca,0,0,0,0,0,0,1,1
Alfenas,0,0,0,0,2,0,0,0
Alfredo Vasconcelos,0,0,0,0,0,0,1,0
Alpinópolis,0,0,0,0,1,0,0,0
Alterosa,0,0,0,0,2,0,0,2
Alto Rio Doce,0,0,0,0,2,0,0,2
Alvinópolis,0,0,0,0,2,0,0,0
Alvorada de Minas,0,0,0,0,0,1,1,1
Amparo do Serra,0,0,0,0,0,0,1,1
Andradas,0,0,0,0,1,0,0,0
Andrelândia,0,0,0,0,0,0,1,1
Antônio Carlos,0,0,0,0,0,0,1,0
Aracitaba,0,0,0,0,0,0,1,1
Araguari,0,0,0,0,0,1,0,0
Arantina,0,0,0,0,0,0,1,1
Araporã,0,0,0,0,1,0,0,0
Arapuá,0,0,0,0,1,0,0,0
Araxá,0,0,0,0,0,0,1,0
Aricanduva,0,0,0,0,0,0,1,1
Arinos,0,0,0,0,0,0,1,0
Astolfo Dutra,0,0,0,0,0,0,1,1
Ataléia,0,0,0,0,0,0,1,0
Augusto de Lima,0,0,0,0,0,1,1,1
Bandeira,0,0,0,0,0,0,1,0
Bandeira do Sul,0,0,0,0,2,0,0,2
Barbacena,0,0,0,0,2,0,0,0
Barra Longa,0,0,0,0,0,1,0,1
Barroso,0,0,0,0,0,0,1,0
Belmiro Braga,0,0,0,0,0,0,1,1
Belo Horizonte,0,0,0,0,1,0,0,0
Belo Vale,0,0,0,0,0,0,1,0
Berilo,0,0,0,0,0,1,1,1
Bertópolis,0,0,0,0,0,0,1,0
Betim,0,10,0,2,0,0,0,0
Bias Fortes,0,0,0,0,0,1,0,1
Biquinhas,0,0,0,0,0,0,2,0
Bocaina de Minas,0,0,0,0,0,0,1,1
Bocaiúva,0,0,0,0,0,1,1,1
Bom Jardim de Minas,0,0,0,0,0,1,0,1
Bom Jesus do Amparo,0,0,0,0,0,0,1,0
Bonito de Minas,0,0,0,0,0,1,1,1
Botelhos,0,0,0,0,2,0,0,2
Brasília de Minas,0,0,0,0,0,0,2,1
Brazópolis,0,0,0,0,0,0,1,0
Brás Pires,0,0,0,0,0,0,1,1
Buritis,0,0,0,0,0,0,1,0
Cachoeira Dourada,0,0,0,0,0,1,0,0
Cachoeira de Pajeú,0,0,0,0,0,1,1,1
Cambuquira,0,0,0,0,2,0,0,0
Campo Florido,0,0,0,0,0,0,1,0
Campo do Meio,0,0,0,0,2,0,0,0
Campos Gerais,0,0,0,0,2,2,0,2
Canaã,0,0,0,0,0,0,1,1
Cantagalo,0,0,0,0,0,0,0,1
Canápolis,0,0,0,0,1,0,0,0
Capelinha,0,0,0,0,0,0,2,1
Capinópolis,0,0,0,0,1,0,0,0
Capitão Enéas,0,0,0,0,0,0,1,1
Carandaí,0,0,0,0,0,0,1,0
Caraí,0,0,0,0,0,0,1,0
Careaçu,0,0,0,0,0,0,1,0
Carmo de Minas,0,0,0,0,0,0,1,1
Carmo do Paranaíba,0,0,0,0,0,0,1,0
Carmo do Rio Claro,0,0,0,0,1,0,0,0
Carneirinho,0,0,0,0,1,0,0,0
Carrancas,0,0,0,0,0,0,1,0
Casa Grande,0,0,0,0,0,0,1,0
Cascalho Rico,0,0,0,0,0,0,1,0
Cataguases,0,0,0,0,2,0,0,2
Catas Altas da Noruega,0,0,0,0,0,0,1,0
Catuti,0,0,0,0,0,1,1,1
Caxambu,0,0,0,0,1,0,0,0
Cedro do Abaeté,0,0,0,0,0,0,1,0
Centralina,0,0,0,0,0,0,1,0
Chapada Gaúcha,0,0,0,0,0,1,1,1
Chapada do Norte,0,0,0,0,0,0,1,0
Chiador,0,0,0,0,0,0,1,1
Chácara,0,0,0,0,0,0,1,1
Cipotânea,0,0,0,0,0,0,1,1
Claro dos Poções,0,0,0,0,0,0,1,1
Cláudio,0,0,0,0,2,0,0,2
Coimbra,0,0,0,0,0,0,1,1
Coluna,0,0,0,0,0,0,2,1
