#Rank,Municipio (Planilha),Municipio (Clustering),Desenvolvedor (Planilha),Template (Clustering),template_name_size,cluster_id,Portal da Transparência (validado)
358,Delta,Delta,3gdelta,sem_nome_no_clustering,,29.0,http://www.delta.mg.gov.br/portal-da-transparencia/
373,Itamogi,Itamogi,3gnet,sem_nome_no_clustering,,162.0,https://itamogi.mg.gov.br/transparencia/
458,Limeira do Oeste,Limeira do Oeste,3gnet,sem_nome_no_clustering,,470.0,https://limeiradooeste.mg.gov.br/portal-da-transparencia/
405,Monsenhor Paulo,Monsenhor Paulo,3gnet,sem_nome_no_clustering,,492.0,https://camaramonsenhorpaulo.mg.gov.br/portal-da-transparencia-2/
597,Senador Amaral,Senador Amaral,3gnet,sem_nome_no_clustering,,563.0,https://senadoramaral.mg.gov.br/portal-da-transparencia/
549,Divisa Nova,Divisa Nova,3gnetsolucoes,sem_nome_no_clustering,,684.0,https://divisanova.mg.gov.br/portal-da-transparencia/#1595255407052-b6cf5021-5ed1
314,Icaraí de Minas,Icaraí de Minas,3gnetsolucoesweb,sem_nome_no_clustering,,105.0,http://icaraideminas.mg.gov.br/portal-da-transparencia/
501,Araporã,Araporã,404,template1,Template1 (9),24.0,http://transparencia.arapora.mg.gov.br/
388,Açucena,Açucena,404,sem_nome_no_clustering,,512.0,https://www.acucena.mg.gov.br/transparencia
795,Camacho,Camacho,404,sem_nome_no_clustering,,139.0,http://pt.camacho.mg.gov.br/
533,Catuji,Catuji,404,sem_nome_no_clustering,,134.0,https://www.catuji.mg.gov.br/transparencia.php
516,Dona Euzébia,,404,,,,https://prefeitura24horas.online/_transparencia/home/
752,Estrela do Indaiá,,404,,,,http://201.16.156.251:8095/
851,Grupiara,,404,,,,http://179.189.0.196:8444/transparencia/
491,Iraí de Minas,,404,,,,http://177.85.2.36:8444/transparencia/
831,Itambé do Mato Dentro,Itambé do Mato Dentro,404,memory,Memory (6),103.0,http://lai.memory.com.br/pagina-inicial
356,Juruaia,Juruaia,404,template1,Template1 (9),24.0,https://www.juruaia.mg.gov.br/portal-transparencia
212,Lagoa Formosa,,404,,,,http://transparencia.lagoaformosa.mg.gov.br:8444/transparencia/
352,Miradouro,,404,,,,https://prefeitura24horas.online/_transparencia/home/
765,Pequeri,,404,,,,http://publicacao.pm-pequeri.siplanweb.com.br/
419,Pocrane,Pocrane,404,sem_nome_no_clustering,,125.0,https://pocrane-mg.portaltp.com.br/
750,Romaria,,404,,,,http://177.185.100.233:8444/transparencia/
262,Santa Maria do Suaçuí,Santa Maria do Suaçuí,404,sem_nome_no_clustering,,27.0,https://pmsmsuacui-transparencia.gpecloud.com.br/
423,São Gonçalo do Abaeté,São Gonçalo do Abaeté,404,sem_nome_no_clustering,,125.0,https://saogoncalodoabaete-mg.portaltp.com.br/
649,Tapira,,404,,,,http://167.249.84.86:8444/transparencia/
839,Tapiraí,Tapiraí,404,betha,Betha (7),64.0,https://e-gov.betha.com.br/transparencia/01037-108/recursos.faces?mun=lLbWM9rNqIfA6Op1TBRrBCOEKlUAd9oD
204,Malacacheta,Malacacheta,?,sem_nome_no_clustering,,128.0,http://www.contasabertas.inf.br/abre/6364d3f0f495b6ab9dcf8d3b5c6e0b01
135,Nepomuceno,Nepomuceno,?,sem_nome_no_clustering,,70.0,https://e-gov.betha.com.br/transparencia/01037-108/recursos.faces
