,title,number,created_at,closed_at,labels,state
1417,Coletor para o template ABO,1143,2022-01-05 13:07:41,2022-01-05 13:08:55,[],closed
3527,Coletor para o template ADPM - Despesas - Geral,512,2022-05-09 13:17:54,2022-06-08 16:19:23,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Despesas""), Label(name=""template-ADPM""), Label(name=""[E] Externa""), Label(name=""[0] Coleta"")]",closed
3528,Coletor para o template Síntese Tecnologia e informatica - Servidores Públicos - Dispêndios,1326,2022-07-21 20:10:03,2022-07-21 20:12:10,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Servidores Públicos""), Label(name=""não-localizado""), Label(name=""subtag-Dispêndios"")]",closed
3529,Coletor para o template Síntese Tecnologia e informatica - Servidores Públicos - Auxílios,1325,2022-07-21 20:08:55,2022-07-21 20:12:10,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Servidores Públicos""), Label(name=""não-localizado""), Label(name=""subtag-Auxílios"")]",closed
3530,Coletor para o template ADPM - Acesso à Informação - Informações,968,2022-06-23 16:06:21,2022-06-23 16:10:40,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Acesso à Informação""), Label(name=""template-ADPM""), Label(name=""subtag-Informações"")]",closed
3531,Coletor para o template Memory (66) - Despesas - Leis Orçamentárias,1328,2022-07-25 12:05:14,2022-07-26 12:45:45,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Memory""), Label(name=""tag-Despesas""), Label(name=""subtag-Leis Orçamentárias""), Label(name=""[0] Coleta"")]",closed
3532,Coletor para template ADPM - Informações institucionais do município,904,2022-06-22 15:18:50,2022-06-22 15:20:10,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado"")]",closed
3534,Coletor para o template ABO - Despesas - Leis Orçamentárias,1330,2022-07-26 17:37:44,2022-07-27 13:03:00,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Despesas""), Label(name=""template-ABO""), Label(name=""subtag-Leis Orçamentárias"")]",closed
3536,Coletor para o template Síntese e Tecnologia - Servidores Públicos - Agentes Politicos,515,2022-05-11 23:20:53,2022-05-20 01:03:08,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Servidores Públicos""), Label(name=""[0] Coleta"")]",closed
3537,Coletor para o template Memory (66) - Despesas - Empenhos,1420,2022-07-27 11:26:56,2022-07-27 11:28:29,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Memory""), Label(name=""tag-Despesas""), Label(name=""subtag-empenhos""), Label(name=""não-coletável-timeout"")]",closed
3540,Coletor para o template ABO - Contratos,1327,2022-07-22 14:46:49,2022-07-28 15:02:08,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ABO""), Label(name=""tag-Contratos"")]",closed
3541,Coletor para o template ABO - Informações institucionais - Leis Municipais,1233,2022-07-18 13:40:34,2022-07-22 12:48:03,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ABO""), Label(name=""tag-Informações Institucionais""), Label(name=""subtag-Leis Municipais"")]",closed
3545,Coletor para o template ABO - Obras Públicas,1045,2022-07-13 20:39:56,2022-07-28 15:19:08,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ABO""), Label(name=""tag-Obras Públicas""), Label(name=""não-localizado-link-incorreto"")]",closed
3549,Coletor para o template da Betha (37) (Licitações),81,2021-11-08 18:48:29,2022-01-14 13:49:20,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Betha"")]",closed
3554,Coletor para o template Siplanweb - Terceiro Setor - Convênios,482,2022-04-18 11:46:42,2022-04-28 11:54:56,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Terceiro Setor""), Label(name=""campo-Convênios"")]",closed
3557,Coletor para o template da Fiorilli sociedade civil (7) (Licitações),87,2021-11-10 17:10:52,2022-01-28 13:40:51,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Fiorilli"")]",closed
3558,Coletor para o template da Portal Fácil (5) (Licitações),89,2021-11-19 10:11:08,2021-12-13 10:33:29,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Portal Facil (5)"")]",closed
3562,Coletor para o template da PT (45) (Licitações),96,2021-11-19 10:37:23,2022-01-20 14:51:32,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-PT"")]",closed
3563,Coletor para o template ADPM (22) - Licitações,186,2022-01-17 13:33:20,2022-01-26 13:20:54,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-ADPM""), Label(name=""não-localizado"")]",closed
3564,Coletor para o template Siplanweb - Acesso à Informação - Requisitos Exigidos,478,2022-04-06 11:37:32,2022-04-18 11:44:33,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Acesso à Informação""), Label(name=""subtag-Requisitos Exigidos"")]",closed
3565,Coletor para o template Betha - Despesas - Relatórios e Contas Públicas,110,2021-12-14 17:04:57,2022-03-14 10:30:53,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Despesas""), Label(name=""subtag-Relatórios""), Label(name=""subtag-Contas Públicas"")]",closed
3566,Coletor para o template Síntese Tecnologia e informatica - Despesas - Empenhos Anulados,327,2022-02-14 19:46:44,2022-02-23 13:04:31,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Despesas""), Label(name=""subtag-empenhos"")]",closed
3570,Coletor para o template Síntese Tecnologia e Informática - Despesas - Contas Públicas,190,2022-01-26 16:42:07,2022-02-17 16:18:49,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Despesas""), Label(name=""subtag-Contas Públicas"")]",closed
3572,Coletor para o template Síntese Tecnologia e informatica - Servidores Públicos - Folha de Pagamento,292,2022-02-04 21:11:08,2022-05-19 00:55:59,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Servidores Públicos"")]",closed
3574,Coletor para o template Betha - Servidores Públicos - Dispêndios,312,2022-02-11 11:23:47,2022-07-13 02:12:36,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Servidores Públicos""), Label(name=""não-localizado""), Label(name=""subtag-Dispêndios"")]",closed
3575,Coletor para o template Betha - Acesso à Informação - Dados Abertos,313,2022-02-11 11:24:40,2022-07-13 02:09:32,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Acesso à Informação""), Label(name=""não-localizado""), Label(name=""subtag-Dados Abertos"")]",closed
3576,Coletor para o template Betha - Despesas com diárias,317,2022-02-11 11:28:20,2022-07-21 23:44:13,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Despesas com diárias"")]",closed
3577,Coletor para o template Síntese Tecnologia e informatica - Despesas - Empenhos Emitidos,329,2022-02-21 13:40:41,2022-03-02 21:57:17,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Despesas""), Label(name=""subtag-Empenhos Emitidos"")]",closed
3578,Coletor para o template Siplanweb - Despesas - Pagamentos,330,2022-02-23 13:22:53,2022-03-02 18:29:24,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Despesas""), Label(name=""subtag-Pagamentos"")]",closed
3579,Coletor para o template ADPM (22) - Obras Públicas,757,2022-05-17 23:18:10,2022-05-17 23:20:48,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Obras Públicas""), Label(name=""não-localizado"")]",closed
